columna.name;translation
Timestamp;Timestamp
X.Cual.es.tu.genero.;genero
X.En.que.rango.de.edad.te.encuentras.;edad
Las.horas.que.inviertes.para.llegar.a.la.UNAH.las.clasificarías.como.;horas_llegar_unah
X.Tienes.internet.permanentemente.en.tu.casa.;internet_permanente
X.Consideras.que.tienes.una.buena.conexión.;buena_conexion
X.Trabajas.;trabaja
X.Tienes.familiares.que.ya.se.graduaron.de.la.universidad.;familiares_graduados
X.Tiene.mas.familiares.estudiando.dentro.de.la.UNAH.u.otras.universidades.;familiares_estudiando
X.Tienes.familiares.que.estudiaron.o.estudian.la.misma.carrera.;ejemplos_a_seguir
X.El.lugar.donde.creciste.esta.fuera.de.Tegucigalpa.;foraneo
X.Estudias.en.mas.de.una.carrera.;multiple_carrera
Te.hubiera.gustado.estudiar.otra.carrera...cuál.;otras_opciones_estudio
X.Cuántos.periodos.llevas.matriculado.en.la.UNAH.;numero_periodos_matriculado
X.En.que.rango.se.encuentra.tu.indice.academico.;indice
X.Has.sido.excelencia.académica.por.lo.menos.alguna.vez.;excelencia_academica
X.has.reprobado.alguna.clase.;reprobado
X.Una.clase.la.has.repetido.mas.o.igual.de.dos.veces.;reprobado_mas_de_dos
X.Poses.Beca.;beca
X.Cuantos.años.llevas.de.poseer.beca.;anios_beca
X.Cuántas.clases.tienes.matriculadas.;clases_matriculadas
X.Cuántas.UV.tienes.matriculadas.;uv
X.Qué.porcentaje.de.las.clases.que.llevas.matriculadas.son.de.la.facultad.;porcentaje_clases_facultad
X.Porcentaje.de.la.carrera.que.llevas.aprobado..puede.ser.un.estimado..;porcentaje_clase_aprobadas
X.Este.periodo.te.toco.estudiar.en.que.jornadas.;jornada
X.Promedio.de.numero.de.bloques.libres.que.tienes.de.una.clase.a.otra.por.día.;bloques_libres
X.En.promedio.cuantas.horas.estudias.a.la.semana.;horas_estudio_semanal
X.En.promedio.cuantas.horas.estudias.esta.clase.a.la.semana.;horas_dedicadas_clase
X.Te.gusta.estudiar.en.grupo.;estudia_grupo
X.Cuál.es.tu.conocmiento.en.las.siguientes.categorias....Diseño.grafico.;disenio
X.Cuál.es.tu.conocmiento.en.las.siguientes.categorias....Programación.;progra
X.Cuál.es.tu.conocmiento.en.las.siguientes.categorias....Bases.de.datos.;bd
X.Cuál.es.tu.conocmiento.en.las.siguientes.categorias....Análisis.y.Diseño.de.Sistemas.;analisis
X.Cuál.es.tu.conocmiento.en.las.siguientes.categorias....Servidores.;servidores
X.Te.destacas.en.la.exposiciones.;expositor
X.Te.gusta.negociar.;negociador
Cuando.no.te.parece.una.idea.pero.los.demás.están.de.acuerdo.te.quedas.callado.;debatir
X.Te.consideras.introvertido.;introvertido
X.Te.consideras.competitivo.;competitivo
X.Te.enojas.con.facilidad.;enojado
nota;nota
